Behavior Name/Term,Definition,Definition 2,Weapons,Bullying,Physical,Dating
"""Chinese Fire Drill""","a prank in which the passengers of a motor vehicle that is stopped at an intersection get out of the vehicle, circle it, and return to their seats.",,,0,0,
Abusive Cycle,This is the name for the ongoing rotation between destructive and constructive behavior which is typical of many dysfunctional relationships and families.,,1,0,,
Action Assembly Theory,"a group of theories that seek to explain verbal and nonverbal message behavior by describing the system of cognitive structures and processes that gives rise to those behaviors. Central to these theories is the idea that a person's behavior at any moment is an amalgam of a great many elemental features that are selectively retrieved from memory and integrated, or assembled, to form thoughts and overt action.",,,0,0,
Active,always busy with something,,,0,1,
adoption,,,1,0,0,
Age 17-19,,,1,0,0,
aggresion towards objects,,,1,0,1,
Aggressive,verbally or physically threatening,,1,1,1,
alcohol use,,,1,1,1,1
Alienation,The act of cutting off or interfering with an individual's relationships with others.,,1,1,0,
Alloplastic adaptation,refers to the form of adjustment which results from changes in the environment surrounding an individual.,"is a form of adaptation where the subject attempts to change the environment when faced with a difficult situation. Criminality, mental illness, and activism can all be classified as categories ofalloplastic adaptation.",,0,,
"Always and ""Never"" Statements","""Always"" and ""Never"" Statements are declarations containing the words ""always"" or ""never"". They are commonly used but rarely true.",,,0,0,
Ambitious,strongly wants to succeed,,1,0,0,
Anger,"People who suffer from personality disorders often feel a sense of unresolved anger and a heightened or exaggerated perception that they have been wronged, invalidated, neglected or abused.",,1,0,1,
animal abuse,,,1,0,1,
Animal Spirits,"a term used by John Maynard Keynes to explain why decisions are made even in times of uncertainty. In Keynes’ 1936 publication, The General Theory of Employment, Interest and Money, the term ""animal spirits"" is used to describe human emotion that drives consumer confidence",,,0,0,
Argumentative,often arguing with people,,1,0,1,
Asccismus,feigned refusal of something earnestly desired,,,0,0,
assault with gun,,,1,0,1,1
assault with knife,,,1,0,1,1
Assertive,being outgoing and confident,,,0,0,
Attention deficit hyperactivity disorder,"Around two to five per cent of children are thought to have attention deficit hyperactivity disorder (ADHD), with boys outnumbering girls by three to one. The characteristics of ADHD can include; Inattention – difficulty concentrating, forgetting instructions, moving from one task to another without completing anything. Impulsivity – talking over the top of others, having a ‘short fuse’, being accident-prone. Overactivity – constant restlessness and fidgeting.",,,0,0,
Attention seeking,"Attempting to attract the attention of other people, typically by disruptive or excessively extrovert behaviour.",,0,1,1,0
Attitude Change,"occurs anytime an attitude is modified. Thus, change occurs when a person goes from being positive to negative, from slightly positive to very positive, or from having no attitude to having one",,1,0,1,
autoplastic defense mechanism,"the propensity of the organism to modify itself in order to withstand successfully and encounter with an external, or even internal, threat",,,0,0,
Avoidance,"The practice of withdrawing from relationships with other people as a defensive measure to reduce the risk of rejection, accountability, criticism or exposure.",,1,0,0,
Avoidance Coping,Avoidance coping refers to choosing your behavior based on trying to avoid or escape particular thoughts or feelings,,1,0,0,
Bad coping,,,0,1,0,0
Bad Habit,a negative behaviour pattern,,1,0,0,
Baiting,"A provocative act used to solicit an angry, aggressive or emotional response from another individual.",,,0,0,
beat,,,0,1,1,1
beat up,,,0,1,1,1
Behavior,the way in which someone conducts oneself or behaves,,,0,0,
Behavior Change,can refer to any transformation or modification of human behavior (Individual),refers to efforts to change people's personal habits to prevent disease (Global Health),,0,1,
Behavioral confirmation,a type of self-fulfilling prophecy whereby people's social expectations lead them to behave in ways that cause others to confirm their expectations,,,0,0,
Behavioral contagion,the tendency for people to repeat behavior after others have performed it.,,,0,0,
Behavioral Modernity,"a term used in anthropology, archeology and sociology to refer to a list of traits that distinguish present day humans and their recent ancestors from both living primates and other extinct hominid lineages",,,0,0,
Behavioral Urbanism,"is an interdisciplinary field focused on the interaction between humans and the built environment, studying the effects of social, cognitive, and emotional factors in understanding the spatial behavior of individuals",,,0,0,
belittle partner,,,1,1,0,1
"Belittling, Condescending and Patronizing",This kind of speech is a passive-aggressive approach to giving someone a verbal putdown while maintaining a facade of reasonableness or friendliness.,,,0,0,
bend fingers,,,0,1,1,1
binge drinking,,,1,0,1,
bite,,,0,0,1,1
Blaming,"The practice of identifying a person or people responsible for creating a problem, rather than identifying ways of dealing with the problem.",,,0,0,
bomb-making,,,,,1,
Boreout,"a management theory that posits that lack of work, boredom, and consequent lack of satisfaction are a common malaise affecting individuals working in modern organizations",,,0,0,
Bossy,always telling people what to do,,,0,0,
break up with girlfriend,,,1,0,1,
Breastfeeding,to feed (a baby) from a mother's breast,,,0,0,
Brodie's Law,anti-bullying legislation commenced in June 2011 and made serious bullying a crime punishable by up to 10 years in jail,,,0,0,
bullied,,,,1,1,
Bullying,"Any systematic action of hurting a person from a position of relative physical, social, economic or emotional strength.","unwanted, aggressive behavior among school aged children that involves a real or perceived power imbalance",1,1,1,
burn,,,0,0,1,1
calculus of concepts,"an abstract language and theory, which was developed to simplify the reasons behind effective messaging when delivered to a specific target or set of targets. The theory aims to maximize the likelihood of desired outcomes, by using messaging elements and techniques while analyzing the delivery mechanisms in certain scenarios",,,0,0,
Careless,not being careful; rushing into things,,,0,0,
Catastrophizing,"The habit of automatically assuming a ""worst case scenario"" and inappropriately characterizing minor or moderate problems or issues as catastrophic events.",,,0,0,
Cautious,being very careful,,,0,0,
Chaos Manufacture,"Unnecessarily creating or maintaining an environment of risk, destruction, confusion or mess.",,1,0,0,
Cheating,Sharing a romantic or intimate relationship with somebody when you are already committed to a monogamous relationship with someone else.,,,0,0,
checking phone without permission,,,0,0,0,1
choke,,,0,0,1,1
Chronic Broken Promises,Repeatedly making and then breaking commitments and promises is a common trait among people who suffer from personality disorders.,,,0,0,
cigarette use,,,1,1,1,0
Circular Conversations,"Arguments which go on almost endlessly, repeating the same patterns with no resolution.",,,0,0,
Civil Inattention,"the process whereby strangers who are in close proximity demonstrate that they are aware of one another, without imposing on each other – a recognition of the claims of others to a public space, and of their own personal boundaries.",a term referring to the ways in which people maintain a comfortable social order in public spaces by explicitly disattending to one another and their actions,,0,0,
Close minded,"You are not willing to consider ideas, beliefs and practices different from your own.",,1,0,1,
clothing change,,,1,,1,
coerced sex,,,0,0,1,1
Cold Feet,Apprehension or doubt strong enough to prevent a planned course of action,,,0,0,
Communication Theory,a field of information theory and mathematics that studies the technical process of information[1]and the process of human communication.[2],,,0,0,
Conceited,thinks he is better than others; arrogant,,,0,0,
Conduct disorder,"Children with conduct disorder (CD) are often judged as ‘bad kids’ because of their delinquent behaviour and refusal to accept rules. Around five per cent of 10 year olds are thought to have CD, with boys outnumbering girls by four to one. Around one-third of children with CD also have attention deficit hyperactivity disorder (ADHD). Some of the typical behaviours of a child with CD may include; frequent refusal to obey parents or other authority figures, repeated truancy, tendency to use drugs, including cigarettes and alcohol, at a very early age, lack of empathy for others, being aggressive to animals and other people or showing sadistic behaviours including bullying and physical or sexual abuse, keenness to start physical fights, using weapons in physical fights, frequent lying, criminal behaviour such as stealing, deliberately lighting fires, breaking into houses and vandalism, a tendency to run away from home, suicidal tendencies – although these are more rare.",,1,1,0,
Confirmation Bias,The tendency to pay more attention to things which reinforce your beliefs than to things which contradict them.,,,0,0,
Conscientious,taking time to do things right,,1,0,0,
consistently argue with parents,,,1,0,1,
control partner,,,0,0,0,1
Control-Me Syndrome,"This describes a tendency which some people have to foster relationships with people who have a controlling narcissistic, antisocial or ""acting out"" nature.",,,0,0,
controlling,,,0,0,0,1
Coping,"to invest own conscious effort, to solve personal and interpersonal problems, in order to try to master, minimize or tolerate stress and conflict.",,,0,0,
Creative,someone who can make up things easily or think of new things,,1,0,0,
Cruelty to Animals,Acts of Cruelty to Animals have been statistically discovered to occur more often in people who suffer from personality disorders than in the general population.,,,0,1,
Cultural Divide,"a boundary in society that separates communities whose social economic structures, opportunities for success, conventions, styles, are so different that they have substantially different psychologies",,,0,0,
Cultural Mediation,"the process of building bridges between the cultural and social realms, and the building of new relationships between the political, cultural and public spheres. It covers a broad spectrum of practices ranging from audience development activities to participatory and community arts.",,,0,0,
"Cultural Universal (Also, Human Universal)","Cultural universal is an anthropological term that refers to institutions, elements, traits and patterns that are found across the entire spectrum of human culture.","an element, pattern, trait, or institution that is common to all human cultures worldwide",,0,0,
Curious,always wanting to know things,,,0,0,
Cursory,"You rarely use facts, data and logic when making decisions.",,,0,0,
